fecha_terminacion_proyecto,fecha_de_corte,c_digo_divipola_departamento,departamento,c_digo_divipola_municipio,municipio,indicador,nombre_proyecto,origen,aporte_nacion,contrapartida,estado_seguimiento,num_municipios,región
2018-10-31,2024-04-04,68,santander,68179,chipata(san),nueva población beneficiada alcantarillado urbano,plan maestro de alcantarillado sanitario y pluvial del municipio de chipata.,pda,537559101,2736918211,liquidado contrato obra,1,Región Andina
2019-06-30,2024-04-04,5,antioquia,5209,concordia(ant),nueva población beneficiada acueducto urbano,construcción del plan maestro de acueducto del municipio de concordia etapa ii,pda,0,3042608871,liquidado,1,Región Andina
2019-05-17,2024-04-04,44,la guajira,44035,albania(la ),nueva población beneficiada acueducto urbano,construcion del nuevo acueducto para la cabecera municipal de albania fase i,pda,0,11038602804,terminado,1,Región Caribe
2019-06-17,2024-04-04,41,huila,41518,paicol(hui),nueva población beneficiada alcantarillado urbano,construcción planta de tratamiento de aguas residuales domesticas casco urbano del municipio de paicol-huila,pda,0,1533655867,liquidado,1,Región Andina
2019-06-23,2024-04-04,91,amazonas,91460,mirití - paraná(ama),nueva población beneficiada acueducto rural,"construccion del sistema de acueducto centro poblado e internado del corregimiento miriti parana ( (barcaza flotante, linea de aduccio, ptap, almacenamiento y red de distribucion)",pda,131388019,2982358900,liquidado,1,Región Amazonía
2018-12-31,2024-04-04,68,santander,68307,giron(san),nueva población beneficiada acueducto rural,"construcción red secundaria de distribución de acueducto y tanque de almacenamiento sectores altos de nazareth, el nilo, la panadería y parada de pablo de la vereda ruitoque del municipio de girón",tasa compensada,0,1094691057,terminado,1,Región Andina
2019-06-28,2024-04-04,47,magdalena,47030,algarrobo(mag),nueva población beneficiada alcantarillado urbano,"construcción del sistema de alcantarillado  sanitario del municipio de algarrobo, magdalena - fase ii",pgn,7180803864,0,liquidado,1,Región Caribe
2019-12-28,2024-04-04,25,cundinamarca,25807,tibirita(cun),nueva población beneficiada acueducto urbano,construccion de las obras de optimizacion de los sistemas de acueducto del municipio de tibirita,pda,0,604532366,liquidado contrato obra,1,Región Andina
2021-11-30,2024-04-04,44,la guajira,44430,maicao(la ),nueva población beneficiada acueducto rural,"construcción de obras en el punto de producción, sistema de tratamiento osmosis inversa, construcción pilas aferentes, suministro de dotación para pilas, componente social y aseguramiento en la comunidad de amaripa, municipio de maicao, la guajira",obras por impuestos,0,0,terminado,1,Región Caribe
2020-09-29,2024-04-04,15,boyaca,15109,buenavista(boy),nueva población beneficiada alcantarillado urbano,construccion del plan maestro de alcantarillado combinado de buenavista-boyaca,pda,0,2697431466,liquidado contrato obra,1,Región Andina
2021-07-29,2024-04-04,41,huila,41001,neiva(hui),nueva población beneficiada alcantarillado urbano,"construccion del alcantarillado sanitario barrio barreiro comprendido entre calles 27 a 29 y carreras 52"" a 55""; barrio miraflores comprendido entre calles 22 a 24 y carreras 55"" a 63; barrio plamas ii  comprendido entre calles 22 a 20 y carreras 63 a 64; barrio neiva  ya comprendido entre calles 20"" a 19 y carreras 61"" a 64 y tramos  de conexión con el interceptor del rio las ceibas. sector la media  luna comuna 10 de la ciudad de neiva - huila. fase iii",pda,535500000,7536685849,liquidado,1,Región Andina
2022-03-02,2024-04-04,44,la guajira,44001,riohacha(la ),nueva población beneficiada acueducto urbano,ampliación de redes de acueducto en el distrito de riohacha,obras por impuestos,0,0,liquidado,1,Región Caribe
